"Name action", "Timestamp action"
"Get all applications from csv","2020-04-21T00:33:46.659538400"
"Get all the applications","2020-04-21T00:33:55.304503900"
"Get all candidates from csv","2020-04-21T00:34:42.996664100"
"Get all applications from csv","2020-04-21T00:34:43.021609200"
"Get all the applications","2020-04-21T00:34:46.606131600"
"Get all candidates from csv","2020-04-21T00:35:32.685776700"
"Get all applications from csv","2020-04-21T00:35:32.701398700"
"Get applications by faculty name","2020-04-21T00:35:41.654122"
"Get all candidates from csv","2020-04-21T00:35:52.735662100"
"Get all applications from csv","2020-04-21T00:35:52.766904900"
"Get all the applications for the budget","2020-04-21T00:36:06.516931300"
"Get all candidates from csv","2020-04-21T00:37:15.340890700"
"Get all applications from csv","2020-04-21T00:37:15.363036200"
"Get all candidates from csv","2020-04-21T00:37:48.138280100"
"Get all applications from csv","2020-04-21T00:37:48.153907900"
"Get all candidates from csv","2020-04-21T00:39:35.734023700"
"Get all applications from csv","2020-04-21T00:39:35.765265900"
"Get all candidates from csv","2020-04-21T00:39:46.640294900"
"Get all applications from csv","2020-04-21T00:39:46.662424200"
"Get all candidates from csv","2020-04-21T00:40:01.395711900"
"Get all applications from csv","2020-04-21T00:40:01.411333600"
"Get all the applications","2020-04-21T00:40:05.423849"
"Get all candidates from csv","2020-04-21T00:41:25.481002800"
"Get all applications from csv","2020-04-21T00:41:25.496623400"
"Get all candidates from csv","2020-04-21T00:42:02.330068700"
"Get all applications from csv","2020-04-21T00:42:02.345696300"
"Delete an application by Cnp candidate","2020-04-21T00:42:08.394539100"
"Delete a candidate by CNP","2020-04-21T00:42:08.394539100"
"Get all candidates","2020-04-21T00:42:08.394539100"
"Reload the candidates in csv","2020-04-21T00:42:08.394539100"
"Reload the applications in csv","2020-04-21T00:42:08.409874300"
"Get all candidates from csv","2020-04-21T00:44:56.287454600"
"Get all applications from csv","2020-04-21T00:44:56.327083900"
"Get all candidates from csv","2020-04-21T00:45:28.477192400"
"Get all applications from csv","2020-04-21T00:45:28.499322100"
"Get all candidates from csv","2020-04-21T00:45:48.370584600"
"Get all applications from csv","2020-04-21T00:45:48.401825600"
"Get all candidates from csv","2020-04-21T00:47:57.643614800"
"Get all applications from csv","2020-04-21T00:47:57.674856900"
"Get all the applications","2020-04-21T00:50:34.780164200"
"Get all candidates from csv","2020-04-21T00:50:58.385641100"
"Get all applications from csv","2020-04-21T00:50:58.416883400"
"Get all candidates","2020-04-21T00:51:04.622119300"
"Get all candidates from csv","2020-04-21T00:52:36.829098600"
"Get all applications from csv","2020-04-21T00:52:36.857264500"
"Get all candidates from csv","2020-04-21T00:54:21.225890400"
"Get all applications from csv","2020-04-21T00:54:21.241511800"
"Get applications by faculty name","2020-04-21T00:54:33.123018500"
"Get all candidates from csv","2020-04-21T01:01:49.351088900"
"Get all applications from csv","2020-04-21T01:01:49.382338900"
"Delete an application by Cnp candidate","2020-04-21T01:02:10.120580100"
"Delete a candidate by CNP","2020-04-21T01:02:10.120580100"
"Get all candidates from csv","2020-04-21T01:02:29.664997900"
"Get all applications from csv","2020-04-21T01:02:29.696246300"
"Get all candidates from csv","2020-04-21T01:04:10.418101800"
"Get all applications from csv","2020-04-21T01:04:10.440231800"
"Get all candidates from csv","2020-04-21T01:04:28.066653200"
"Get all applications from csv","2020-04-21T01:04:28.104408600"
"Get all the applications","2020-04-21T01:04:33.620901700"
"Get all candidates from csv","2020-04-21T01:04:39.251580300"
"Get all applications from csv","2020-04-21T01:04:39.282823600"
"Delete an application by Cnp candidate","2020-04-21T01:04:50.118042700"
"Delete a candidate by CNP","2020-04-21T01:04:50.118042700"
"Get all candidates from csv","2020-04-21T01:05:10.128891200"
"Get all applications from csv","2020-04-21T01:05:10.160133800"
"Get all the applications","2020-04-21T01:05:20.607918400"
"Get all candidates from csv","2020-04-21T01:10:23.802461200"
"Get all applications from csv","2020-04-21T01:10:23.840210200"
"Delete an application by Cnp candidate","2020-04-21T01:10:33.472615"
"Reload the applications in csv","2020-04-21T01:10:33.488241700"
"Get all candidates from csv","2020-04-21T09:07:44.074357"
"Get all applications from csv","2020-04-21T09:07:44.140359800"
"Get all candidates from csv","2020-04-21T09:36:02.440732300"
"Get all applications from csv","2020-04-21T09:36:02.468329900"
"Get all faculties from csv","2020-04-21T09:36:02.476012200"
"Add a new faculty","2020-04-21T09:36:47.740870700"
"Get all faculties","2020-04-21T09:36:47.741952300"
"Get all candidates from csv","2020-04-21T09:41:19.753215900"
"Get all applications from csv","2020-04-21T09:41:19.791908900"
"Get all faculties from csv","2020-04-21T09:41:19.794976400"
"Get all candidates from csv","2020-04-21T09:42:15.497822300"
"Get all applications from csv","2020-04-21T09:42:15.547924500"
"Get all faculties from csv","2020-04-21T09:42:15.554140100"
"Find a faculty by name","2020-04-21T09:43:02.953631600"
"Get all candidates from csv","2020-04-21T09:43:23.507452500"
"Get all applications from csv","2020-04-21T09:43:23.550852200"
"Get all faculties from csv","2020-04-21T09:43:23.556145100"
"Get all faculties","2020-04-21T09:43:28.449892600"
"Get all candidates from csv","2020-04-21T09:44:29.567143100"
"Get all applications from csv","2020-04-21T09:44:29.592047400"
"Get all faculties from csv","2020-04-21T09:44:29.597534300"
"Get all faculties","2020-04-21T09:44:34.426287100"
"Get all candidates from csv","2020-04-21T09:44:38.678780700"
"Get all applications from csv","2020-04-21T09:44:38.705004500"
"Get all faculties from csv","2020-04-21T09:44:38.707219200"
"Find a faculty by name","2020-04-21T09:44:45.282594100"
"Get all candidates from csv","2020-04-21T09:44:49.830316100"
"Get all applications from csv","2020-04-21T09:44:49.861551700"
"Get all faculties from csv","2020-04-21T09:44:49.865004300"
"Find a faculty by name","2020-04-21T09:44:56.951095300"
"Get all candidates from csv","2020-04-21T10:12:54.868698600"
"Get all applications from csv","2020-04-21T10:12:54.900956500"
"Get all faculties from csv","2020-04-21T10:12:54.903478500"
"Get all candidates from csv","2020-04-21T10:25:49.738774800"
"Get all applications from csv","2020-04-21T10:25:49.760982600"
"Get all faculties from csv","2020-04-21T10:25:49.767381300"
"Get all specializations from csv","2020-04-21T10:25:49.772033500"
"Get all specilizations:","2020-04-21T10:26:52.795862900"
"Get all candidates from csv","2020-04-21T10:27:24.823900800"
"Get all applications from csv","2020-04-21T10:27:24.849563100"
"Get all faculties from csv","2020-04-21T10:27:24.852500700"
"Get all specializations from csv","2020-04-21T10:27:24.857681700"
"Add a new specialization","2020-04-21T10:27:49.062157300"
"Get all candidates from csv","2020-04-21T10:29:21.270533500"
"Get all applications from csv","2020-04-21T10:29:21.299477700"
"Get all faculties from csv","2020-04-21T10:29:21.302085700"
"Get all specializations from csv","2020-04-21T10:29:21.308168200"
"Get all candidates from csv","2020-04-21T10:30:19.754737400"
"Get all applications from csv","2020-04-21T10:30:19.781633100"
"Get all faculties from csv","2020-04-21T10:30:19.785449100"
"Get all specializations from csv","2020-04-21T10:30:19.786447100"
"Get all specilizations:","2020-04-21T10:30:24.223901800"
"Get all candidates from csv","2020-04-21T10:31:33.735436400"
"Get all applications from csv","2020-04-21T10:31:33.758651300"
"Get all faculties from csv","2020-04-21T10:31:33.763767500"
"Get all specializations from csv","2020-04-21T10:31:33.766033"
"Get all candidates from csv","2020-04-21T10:31:49.199100300"
"Get all applications from csv","2020-04-21T10:31:49.229754700"
"Get all faculties from csv","2020-04-21T10:31:49.235686400"
"Get all specializations from csv","2020-04-21T10:31:49.240498900"
"Get all specializations from a faculty by code:","2020-04-21T10:31:54.455327300"
"Get all candidates from csv","2020-04-21T10:34:55.292721800"
"Get all applications from csv","2020-04-21T10:34:55.320204200"
"Get all faculties from csv","2020-04-21T10:34:55.323654600"
"Get all specializations from csv","2020-04-21T10:34:55.327084500"
"Get a specialization by name","2020-04-21T10:35:10.340357200"
"Get all candidates from csv","2020-04-21T10:36:44.670708100"
"Get all applications from csv","2020-04-21T10:36:44.695554100"
"Get all faculties from csv","2020-04-21T10:36:44.697957200"
"Get all specializations from csv","2020-04-21T10:36:44.700965100"
"Get all candidates from csv","2020-04-21T11:08:09.614047700"
"Get all applications from csv","2020-04-21T11:08:09.645290600"
"Get all faculties from csv","2020-04-21T11:08:09.645290600"
"Get all specializations from csv","2020-04-21T11:08:09.645290600"
"Get all the applications","2020-04-21T11:09:23.960510900"
"Get all candidates from csv","2020-04-21T11:10:04.137067600"
"Get all applications from csv","2020-04-21T11:10:04.168317300"
"Get a specialization by name","2020-04-21T11:10:04.168317300"
"Get all faculties from csv","2020-04-21T11:10:04.168317300"
"Get all specializations from csv","2020-04-21T11:10:04.168317300"
"Get all candidates from csv","2020-04-21T11:11:49.760413100"
"Get all applications from csv","2020-04-21T11:11:49.791655700"
"Get a specialization by name","2020-04-21T11:11:49.791655700"
"Get all faculties from csv","2020-04-21T11:11:49.791655700"
"Get all specializations from csv","2020-04-21T11:11:49.791655700"
"Get all specilizations:","2020-04-21T11:11:55.093796900"
"Get all candidates from csv","2020-04-21T11:12:37.269896300"
"Get all applications from csv","2020-04-21T11:12:37.300035800"
"Get a specialization by name","2020-04-21T11:12:37.300035800"
"Get all faculties from csv","2020-04-21T11:12:37.300035800"
"Get all specializations from csv","2020-04-21T11:12:37.310112100"
"Get all candidates from csv","2020-04-21T11:15:37.661729800"
"Get all applications from csv","2020-04-21T11:15:37.677358300"
"Get a specialization by name","2020-04-21T11:15:37.677358300"
"Get all faculties from csv","2020-04-21T11:15:37.677358300"
"Get all specializations from csv","2020-04-21T11:15:37.692979500"
"Get all specializations from a faculty by code:","2020-04-21T11:17:11.012422700"
"Get all candidates from csv","2020-04-21T11:17:20.352869"
"Get all applications from csv","2020-04-21T11:17:20.384112100"
"Get a specialization by name","2020-04-21T11:17:20.384112100"
"Get all faculties from csv","2020-04-21T11:17:20.384112100"
"Get all specializations from csv","2020-04-21T11:17:20.384112100"
"Get all specilizations:","2020-04-21T11:17:25.562699100"
"Get all candidates from csv","2020-04-21T11:17:39.326675300"
"Get all applications from csv","2020-04-21T11:17:39.357918500"
"Get a specialization by name","2020-04-21T11:17:39.357918500"
"Get all faculties from csv","2020-04-21T11:17:39.357918500"
"Get all specializations from csv","2020-04-21T11:17:39.357918500"
"Get all specializations from a faculty by code:","2020-04-21T11:17:49.762442"
"Get all candidates from csv","2020-04-21T11:17:58.550009100"
